utc_iso,unix_t,range_km,fd_hz
01-Dec-2025 18:27:37,1764613657.59174,7851.49880004784,1659.5012274264
01-Dec-2025 18:27:38,1764613658.09174,7850.87724025739,1657.79877369555
01-Dec-2025 18:27:38,1764613658.59174,7850.25641427505,1656.09550013707
01-Dec-2025 18:27:39,1764613659.09174,7849.63622255984,1654.39113350216
01-Dec-2025 18:27:39,1764613659.59174,7849.01676524496,1652.68594868973
01-Dec-2025 18:27:40,1764613660.09174,7848.3979430217,1650.97967221532
01-Dec-2025 18:27:40,1764613660.59174,7847.77985582747,1649.27257942646
01-Dec-2025 18:27:41,1764613661.09174,7847.16240457329,1647.5643965344
01-Dec-2025 18:27:41,1764613661.59174,7846.5456393436,1645.85526145587
01-Dec-2025 18:27:42,1764613662.09174,7845.92961007705,1644.14531283261
01-Dec-2025 18:27:42,1764613662.59174,7845.31421800205,1642.43427635045
01-Dec-2025 18:27:43,1764613663.09174,7844.69956247757,1640.72242799032
01-Dec-2025 18:27:43,1764613663.59174,7844.08554496531,1639.00949320533
01-Dec-2025 18:27:44,1764613664.09174,7843.47226463936,1637.29574849235
01-Dec-2025 18:27:44,1764613664.59174,7842.85962314495,1635.58091879353
01-Dec-2025 18:27:45,1764613665.09174,7842.247670215,1633.86514277807
01-Dec-2025 18:27:45,1764613665.59174,7841.6364554102,1632.14855970088
01-Dec-2025 18:27:46,1764613666.09174,7841.02588065764,1630.43089377144
01-Dec-2025 18:27:46,1764613666.59174,7840.41604461297,1628.71242246428
01-Dec-2025 18:27:47,1764613667.09174,7839.80684949828,1626.99287010582
01-Dec-2025 18:27:47,1764613667.59174,7839.19839367305,1625.27251405898
01-Dec-2025 18:27:48,1764613668.09174,7838.59057959313,1623.55107841918
01-Dec-2025 18:27:48,1764613668.59174,7837.98345661331,1621.82870246727
01-Dec-2025 18:27:49,1764613669.09174,7837.37707382935,1620.10552557897
01-Dec-2025 18:27:49,1764613669.59174,7836.77133401753,1618.38127133005
01-Dec-2025 18:27:50,1764613670.09174,7836.16633502833,1616.65621812549
01-Dec-2025 18:27:50,1764613670.59174,7835.56197985978,1614.93008924156
01-Dec-2025 18:27:51,1764613671.09174,7834.95836609056,1613.20316310808
01-Dec-2025 18:27:51,1764613671.59174,7834.35539695324,1611.47516277283
01-Dec-2025 18:27:52,1764613672.09174,7833.75312141058,1609.74622805469
01-Dec-2025 18:27:52,1764613672.59174,7833.15158816603,1608.01649886514
01-Dec-2025 18:27:53,1764613673.09174,7832.55070077381,1606.2856977346
01-Dec-2025 18:27:53,1764613673.59174,7831.95055630113,1604.55410413139
01-Dec-2025 18:27:54,1764613674.09174,7831.35105852455,1602.82144028784
01-Dec-2025 18:27:54,1764613674.59174,7830.75230423936,1601.08798569453
01-Dec-2025 18:27:55,1764613675.09174,7830.15419745742,1599.35346235772
01-Dec-2025 18:27:55,1764613675.59174,7829.55683477312,1597.61815020941
01-Dec-2025 18:27:56,1764613676.09174,7828.96012042131,1595.88177095931
01-Dec-2025 18:27:56,1764613676.59174,7828.36410281181,1594.14446483331
01-Dec-2025 18:27:57,1764613677.09174,7827.76883020048,1592.40637277758
01-Dec-2025 18:27:57,1764613677.59174,7827.17420714574,1590.66721598862
01-Dec-2025 18:27:58,1764613678.09174,7826.58032965625,1588.92727500998
01-Dec-2025 18:27:58,1764613678.59174,7825.98710252607,1587.18627081352
01-Dec-2025 18:27:59,1764613679.09174,7825.39462156202,1585.44448438304
01-Dec-2025 18:27:59,1764613679.59174,7824.80279178209,1583.70163639616
01-Dec-2025 18:28:00,1764613680.09174,7824.21166120132,1581.9578676081
01-Dec-2025 18:28:00,1764613680.59174,7823.62127767924,1580.21331949382
01-Dec-2025 18:28:01,1764613681.09174,7823.03154655865,1578.46771222034
01-Dec-2025 18:28:01,1764613681.59174,7822.4425630705,1576.72132744815
01-Dec-2025 18:28:02,1764613682.09174,7821.85423275914,1574.97388491012
01-Dec-2025 18:28:02,1764613682.59174,7821.26665067574,1573.22566684657
01-Dec-2025 18:28:03,1764613683.09174,7820.67972261239,1571.47639283888
01-Dec-2025 18:28:03,1764613683.59174,7820.09349618817,1569.72620416862
01-Dec-2025 18:28:04,1764613684.09174,7819.50801886478,1567.97524283589
01-Dec-2025 18:28:04,1764613684.59174,7818.92319677215,1566.22322798515
01-Dec-2025 18:28:05,1764613685.09174,7818.33912434904,1564.47044231665
